Date,Open,High,Low,Close,Volume,Adj Close
2017-01-13,11.21,11.31,11.16,11.24,159100,11.24
2017-01-12,11.53,11.53,11.48,11.51,33300,11.51
2017-01-11,11.40,11.60,11.34,11.59,209700,11.59
2017-01-10,11.63,11.67,11.46,11.52,31700,11.52
2017-01-09,11.46,11.50,11.37,11.43,79800,11.43
2017-01-06,11.69,11.77,11.65,11.69,32600,11.69
2017-01-05,11.77,11.81,11.65,11.80,52400,11.80
2017-01-04,11.78,11.95,11.75,11.92,63400,11.92
2017-01-03,12.10,12.24,11.89,11.91,391400,11.91
2016-12-30,11.51,11.63,11.49,11.58,135600,11.58
2016-12-29,11.56,11.63,11.51,11.53,147200,11.53
2016-12-28,11.57,11.60,11.44,11.46,108900,11.46
2016-12-27,11.42,11.58,11.41,11.50,163500,11.50
2016-12-23,11.37,11.40,11.27,11.38,55100,11.38
2016-12-22,11.51,11.52,11.37,11.43,1242300,11.43
2016-12-21,11.90,11.90,11.58,11.60,1093400,11.60
2016-12-20,11.75,11.83,11.73,11.74,61100,11.74
2016-12-19,11.64,11.68,11.53,11.55,84400,11.55
2016-12-16,11.65,11.71,11.44,11.45,246400,11.45
2016-12-15,11.39,11.67,11.37,11.66,67400,11.66
2016-12-14,11.65,11.69,11.40,11.42,153000,11.42
2016-12-13,11.95,12.04,11.88,12.00,306900,12.00
2016-12-12,11.84,11.94,11.77,11.79,336800,11.79
2016-12-09,11.09,11.25,11.09,11.23,170500,11.23
2016-12-08,10.85,11.10,10.85,11.01,270500,11.01
2016-12-07,10.23,10.42,10.23,10.39,483200,10.39
2016-12-06,10.29,10.30,10.22,10.30,156100,10.30
2016-12-05,10.45,10.48,10.38,10.39,158800,10.39
2016-12-02,10.14,10.28,10.14,10.24,230700,10.24
2016-12-01,10.16,10.18,10.05,10.06,111700,10.06
2016-11-30,10.08,11.11,10.02,10.09,370700,10.09
2016-11-29,9.89,9.97,9.85,9.92,373700,9.92
2016-11-28,10.15,10.18,10.09,10.12,126500,10.12
2016-11-25,10.23,10.26,10.17,10.19,115200,10.19
2016-11-23,9.87,9.93,9.83,9.92,578800,9.92
2016-11-22,9.94,9.98,9.87,9.97,482200,9.97
2016-11-21,9.78,9.81,9.77,9.81,110000,9.81
2016-11-18,9.55,9.57,9.49,9.51,27100,9.51
2016-11-17,9.55,9.61,9.47,9.51,62700,9.51
2016-11-16,9.48,9.54,9.42,9.50,116900,9.50
2016-11-15,9.46,9.66,9.45,9.59,97200,9.59
2016-11-14,9.32,9.39,9.26,9.39,84300,9.39
2016-11-11,9.52,9.54,9.43,9.53,117500,9.53
2016-11-10,9.87,9.91,9.66,9.66,396200,9.66
2016-11-09,9.63,9.79,9.63,9.76,142500,9.76
2016-11-08,9.37,9.47,9.35,9.42,70100,9.42
2016-11-07,9.18,9.27,9.18,9.27,70600,9.27
2016-11-04,8.92,8.98,8.87,8.93,77200,8.93
2016-11-03,9.09,9.13,9.05,9.10,68300,9.10
2016-11-02,9.21,9.27,9.10,9.15,83200,9.15
2016-11-01,9.48,9.48,9.28,9.31,82200,9.31
2016-10-31,9.52,9.52,9.46,9.50,108400,9.50
2016-10-28,9.60,9.64,9.55,9.55,95800,9.55
2016-10-27,9.77,9.77,9.69,9.69,305500,9.69
2016-10-26,9.80,9.83,9.73,9.74,633500,9.74
2016-10-25,9.94,9.97,9.90,9.94,323900,9.94
2016-10-24,9.79,9.79,9.72,9.75,67500,9.75
2016-10-21,9.68,9.75,9.64,9.74,77800,9.74
2016-10-20,9.68,9.74,9.67,9.67,69400,9.67
2016-10-19,9.66,9.73,9.65,9.73,36500,9.73
2016-10-18,9.58,9.60,9.55,9.56,139500,9.56
2016-10-17,9.46,9.49,9.41,9.41,56000,9.41
2016-10-14,9.54,9.56,9.44,9.47,29300,9.47
2016-10-13,9.42,9.53,9.40,9.53,669700,9.53
2016-10-12,9.69,9.71,9.64,9.64,216300,9.64
2016-10-11,9.97,9.97,9.84,9.88,73900,9.88
2016-10-10,9.89,9.97,9.89,9.95,100800,9.95
2016-10-07,9.85,9.88,9.73,9.75,164000,9.75
2016-10-06,9.77,9.82,9.75,9.81,317200,9.81
2016-10-05,9.63,9.72,9.63,9.68,153500,9.68
2016-10-04,9.70,9.76,9.56,9.58,131800,9.58
2016-10-03,9.71,9.74,9.64,9.69,87400,9.69
2016-09-30,9.44,9.50,9.34,9.42,281800,9.42
2016-09-29,9.59,9.63,9.44,9.51,335100,9.51
2016-09-28,9.50,9.61,9.37,9.60,320700,9.60
2016-09-27,9.48,9.49,9.43,9.45,108200,9.45
2016-09-26,9.60,9.61,9.52,9.53,142900,9.53
2016-09-23,9.73,9.73,9.63,9.63,110700,9.63
2016-09-22,9.96,10.00,9.89,9.89,112500,9.89
2016-09-21,9.64,9.75,9.61,9.75,60700,9.75
2016-09-20,9.39,9.53,9.38,9.53,107800,9.53
2016-09-19,9.46,9.49,9.39,9.45,34800,9.45
2016-09-16,9.43,9.45,9.36,9.36,33100,9.36
2016-09-15,9.40,9.50,9.40,9.50,50800,9.50
2016-09-14,9.48,9.59,9.48,9.51,29700,9.51
2016-09-13,9.51,9.57,9.46,9.47,102000,9.47
2016-09-12,9.51,9.72,9.50,9.70,38100,9.70
2016-09-09,9.77,9.77,9.64,9.68,61700,9.68
2016-09-08,9.96,10.01,9.86,9.94,124800,9.94
2016-09-07,9.96,9.97,9.89,9.90,139700,9.90
2016-09-06,9.62,9.72,9.61,9.68,130200,9.68
2016-09-02,9.25,9.36,9.25,9.35,169000,9.35
2016-09-01,9.14,9.15,9.07,9.11,17100,9.11
2016-08-31,9.11,9.11,9.07,9.07,52900,9.07
2016-08-30,9.20,9.20,9.12,9.14,46900,9.14
2016-08-29,9.22,9.22,9.09,9.16,59200,9.16
2016-08-26,9.24,9.35,9.21,9.23,71700,9.23
2016-08-25,9.00,9.13,9.00,9.11,170500,9.11
2016-08-24,8.85,8.90,8.82,8.82,30500,8.82
2016-08-23,8.90,8.98,8.86,8.90,62400,8.90
2016-08-22,8.63,8.69,8.63,8.64,52200,8.64
2016-08-19,8.69,8.71,8.66,8.69,343000,8.69
2016-08-18,8.77,8.86,8.77,8.80,114600,8.80
2016-08-17,8.94,9.00,8.84,9.00,206300,9.00
2016-08-16,8.94,8.99,8.93,8.96,25300,8.96
2016-08-15,9.01,9.01,8.96,9.00,32000,9.00
2016-08-12,8.96,8.96,8.87,8.88,33500,8.88
2016-08-11,8.93,9.07,8.93,9.05,81100,9.05
2016-08-10,8.94,9.01,8.82,8.82,284600,8.82
2016-08-09,8.84,8.99,8.84,8.92,247000,8.92
2016-08-08,8.90,9.05,8.90,8.98,156200,8.98
2016-08-05,8.78,8.83,8.76,8.77,24900,8.77
2016-08-04,8.51,8.70,8.48,8.62,156600,8.62
2016-08-03,8.35,8.52,8.35,8.52,30100,8.52
2016-08-02,8.55,8.55,8.34,8.39,315200,8.39
2016-08-01,8.64,8.70,8.59,8.59,58500,8.59
2016-07-29,8.70,8.86,8.65,8.85,38300,8.85
2016-07-28,8.59,8.63,8.53,8.63,23100,8.63
2016-07-27,8.74,8.74,8.58,8.66,39100,8.66
2016-07-26,8.46,8.59,8.43,8.56,191900,8.56
2016-07-25,8.74,8.76,8.63,8.66,199200,8.66
2016-07-22,8.95,8.95,8.88,8.90,50100,8.90
2016-07-21,9.08,9.11,8.98,9.01,80200,9.01
2016-07-20,9.11,9.15,9.03,9.09,36000,9.09
2016-07-19,9.24,9.28,9.10,9.10,72400,9.10
2016-07-18,9.19,9.33,9.19,9.28,94300,9.28
2016-07-15,9.16,9.20,9.10,9.10,220600,9.10
2016-07-14,9.26,9.38,9.26,9.32,62800,9.32
2016-07-13,9.14,9.20,9.09,9.20,111400,9.20
2016-07-12,9.25,9.25,9.15,9.23,157100,9.23
2016-07-11,9.01,9.05,8.99,9.00,89900,9.00
2016-07-08,8.80,8.87,8.78,8.83,47200,8.83
2016-07-07,8.71,8.79,8.52,8.61,362500,8.61
2016-07-06,8.33,8.50,8.28,8.48,235700,8.48
2016-07-05,8.66,8.70,8.61,8.65,141500,8.65
2016-07-01,8.77,8.88,8.77,8.83,147100,8.83
2016-06-30,8.66,8.80,8.64,8.73,272300,8.73
2016-06-29,8.68,8.83,8.68,8.78,102100,8.78
2016-06-28,8.35,8.56,8.34,8.54,39400,8.54
2016-06-27,8.20,8.20,8.03,8.11,277500,8.11
2016-06-24,8.48,8.57,8.45,8.45,573300,8.45
2016-06-23,8.96,9.04,8.90,9.03,53200,9.03
2016-06-22,8.76,8.80,8.60,8.65,66200,8.65
2016-06-21,8.57,8.78,8.50,8.71,97500,8.71
2016-06-20,8.61,8.67,8.55,8.59,144700,8.59
2016-06-17,8.32,8.40,8.27,8.33,57400,8.33
2016-06-16,7.98,8.17,7.96,8.10,20600,8.10
2016-06-15,8.12,8.24,8.12,8.13,35500,8.13
2016-06-14,8.00,8.01,7.90,7.93,314300,7.93
